Produccion
2242350
1797541
2368989
2404098
2562295
2814071
2948361
3259153
3496311
3354235
1432650
1811612
3045219
3066803
3021585
3387158
3250273
4060383
4653005
5245628
5284563
5386749
5461885
5425000
6143169
6390984
6407240
7319126
7618852
7274180
7092623
8243579
8551366
9927596
9758197
9409426
8665984
1.05E+07
1.13E+07
1.11E+07
1.01E+07
9493000
8686000
8102000
7553000
7106000
6755000
6410000
6501000
6912000
7320000
7851000
8653000
8887000
1.53E+07
1.94E+07
1.90E+07
2.03E+07
2.23E+07
2.15E+07
2.22E+07
2.29E+07
2.30E+07
2.95E+07
3.18E+07
3.32E+07
3.85E+07
4.16E+07
3.53E+07
3.11E+07
2.87E+07
2.69E+07
2.63E+07
2.62E+07
2.64E+07
26450530.47
29300164656
33398155362
39119205756
45529870116
47022085284
49961665.74
49299353.13
